trial_id,mean_cv_score,std_cv_score,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
0,-1234.7261120465191,258.0563835149173,True,24,sqrt,8,8,171
1,-1244.7421928036547,261.2048189604561,True,27,,8,5,153
2,-1371.5448907458529,338.2237783875284,False,7,log2,5,3,137
3,-1272.3151988091186,277.41799780678605,False,10,log2,5,2,253
4,-1237.6608019064454,253.65888187577838,False,26,sqrt,9,18,268
5,-1241.1835363386779,250.85653850112274,True,14,,3,13,104
6,-1236.1371348032528,242.5801603975785,False,29,,5,8,70
7,-1257.1885773145245,261.86181313912994,True,11,log2,4,15,291
8,-1246.1220533242442,262.4476990559793,False,13,log2,5,3,133
9,-1264.40013774899,261.77013705580293,False,19,,8,16,84
10,-1256.589805678635,247.51853994519854,False,21,log2,8,5,51
11,-1267.1732725544693,275.7815294095787,False,10,log2,4,19,267
12,-1458.087673583824,365.07258018805226,False,6,log2,4,15,144
13,-1240.7191955040776,260.5532241602819,False,19,log2,7,9,262
14,-1251.5836411598816,249.7943550646137,False,17,log2,5,14,90
15,-1253.8453236994476,250.17957063336473,True,19,sqrt,1,8,58
16,-1592.4939065803353,417.007021162609,False,5,,3,18,185
17,-1364.800564278716,330.9523141336666,True,7,sqrt,5,11,280
18,-1242.561162131116,246.1079770252472,False,13,,9,9,61
19,-1597.430653168113,416.11679072745807,False,5,,7,6,148
20,-1250.569491999162,263.5909731162411,False,12,log2,3,2,276
21,-1264.3674296517224,252.82092110948446,True,19,log2,3,2,54
22,-1241.7009526976121,258.71656425932446,False,27,,7,10,256
23,-1243.4258638353595,256.63124293589937,True,14,sqrt,3,8,290
24,-1319.3388215028947,307.3819075732107,False,8,log2,5,8,286
25,-1231.7592328147591,249.02119547362906,True,15,sqrt,4,14,209
26,-1249.2303834188829,255.07675186958025,True,23,log2,2,11,94
27,-1244.296320620036,251.15146359977467,False,29,sqrt,6,13,93
28,-1235.5936651154661,248.74950198882522,False,15,log2,7,8,239
29,-1588.2753458387974,412.41062961772394,True,5,sqrt,9,14,282
30,-1257.3445873110734,256.1159152037205,True,11,log2,8,10,111
31,-1592.092133354436,420.89279744400125,True,5,,8,16,108
32,-1241.4174495170325,257.5321032973733,False,28,sqrt,4,18,111
33,-1237.815701303622,259.2661087528564,True,24,log2,7,3,180
34,-1281.806059097802,278.98969052435166,True,9,sqrt,8,18,236
35,-1453.44540548664,365.6782246363005,True,6,log2,6,6,273
36,-1588.8186063322232,411.69036708418747,True,5,,2,13,267
37,-1268.9293192711543,275.47115805191464,False,10,,4,12,233
38,-1232.9375321900202,250.13090198000714,True,21,,6,6,165
39,-1269.1222724614252,281.79380237592284,False,10,log2,1,10,173
40,-1268.1862141447345,278.87526008856247,True,10,sqrt,3,5,196
41,-1370.1236167464594,339.0466289093817,False,7,,3,8,101
42,-1592.992269996327,417.6342240138639,True,5,,2,9,178
43,-1239.76106996665,258.53547001623417,True,29,sqrt,2,11,148
44,-1256.083874449359,238.31593242998164,True,20,log2,9,18,51
45,-1239.5498711295852,254.34253112253842,True,20,log2,5,6,209
46,-1244.782947645413,264.33602696702053,True,27,sqrt,9,4,196
47,-1237.6310092632189,254.05783326962919,False,20,,4,2,201
48,-1232.9612198928517,249.3791574176822,False,15,sqrt,8,5,215
49,-1232.263838085318,251.14721303847733,False,24,log2,3,17,266
50,-1240.1520825246687,257.62768044426554,True,29,sqrt,2,15,131
51,-1241.8331131170448,255.8102258301898,False,26,,9,5,210
52,-1587.7350187491938,415.70044379519715,False,5,log2,5,17,197
53,-1255.759817209114,269.9615255883417,False,12,,3,18,177
54,-1239.5417928745596,254.7278810347318,True,20,,3,15,207
55,-1280.7647821878995,276.6641049015512,False,10,sqrt,3,9,76
56,-1454.4807159016696,365.1196645391952,True,6,sqrt,1,16,241
57,-1296.8373016770468,275.4743056381966,True,9,sqrt,3,5,84
58,-1235.9799096731272,250.84962712622553,False,21,sqrt,5,7,148
59,-1241.6855363471036,254.8111209385959,False,13,sqrt,8,18,95
60,-1366.7513068014098,332.51522453535654,True,7,sqrt,4,2,116
61,-1240.7284117233696,257.12620509844805,False,22,sqrt,6,4,153
62,-1246.1321889954866,265.6939988445716,False,28,log2,6,3,176
63,-1243.1179440069677,258.2552618196184,True,14,log2,1,9,210
64,-1234.700146762314,250.09652757652015,True,15,log2,7,11,296
65,-1370.2344837157127,337.2365608549589,False,7,log2,9,14,109
66,-1266.9293778685164,253.82481627342952,False,11,sqrt,4,14,69
67,-1256.899750731507,269.2063867728348,True,12,log2,3,16,141
68,-1453.8704318133246,366.1526110840486,False,6,,6,18,229
69,-1269.9835216555687,274.9491099799748,False,10,,6,12,237
70,-1589.5148837854224,412.2115346323845,True,5,sqrt,5,8,245
71,-1243.4020090761778,248.6170477315821,False,17,log2,3,9,101
72,-1236.919610166457,250.2357325808161,False,17,log2,3,18,169
73,-1237.1089347169984,255.23774773833836,True,23,log2,7,6,267
74,-1237.9611139945657,254.85839813379962,True,27,,9,13,294
75,-1597.652900859916,416.8450891570722,True,5,,2,17,138
76,-1239.4847371741878,249.29755306263434,False,17,sqrt,1,17,238
77,-1283.892231304038,275.03527873922565,True,9,log2,7,4,125
78,-1237.5757784151317,252.66076977800998,False,20,,5,15,269
79,-1242.4870943125138,259.9511895070609,True,19,sqrt,4,6,253
80,-1249.8033594301974,246.32271559271655,False,20,sqrt,7,5,82
81,-1281.5007179323145,277.76902303338164,False,9,,6,6,149
82,-1234.9576631336888,252.5084009686151,False,24,,3,2,297
83,-1235.4402735744457,250.62468505402305,True,17,,2,18,269
84,-1232.0590894669065,254.09490271600112,False,24,log2,3,2,210
85,-1241.4042527659653,249.08259969085626,True,23,,5,13,116
86,-1604.3586465923015,417.5229436299258,True,5,log2,2,19,84
87,-1238.0431415490395,252.28159652780184,True,21,log2,8,11,139
88,-1456.7687399745664,366.1104511111697,False,6,,9,8,245
89,-1237.2862388071649,255.7238813745351,False,25,log2,8,5,266
90,-1238.483569594559,257.45758087330853,True,29,log2,5,10,201
91,-1382.871905554209,338.3248323585391,False,7,sqrt,3,17,85
92,-1233.0987653305397,237.76937528082433,False,21,,8,6,61
93,-1244.8329803118318,260.53214736708884,True,27,sqrt,7,4,154
94,-1231.3155562516083,249.88427178433446,False,21,sqrt,4,17,266
95,-1238.6427908125058,247.92113458808515,False,17,,3,18,149
96,-1256.4891232390473,259.80888365623684,False,13,,9,8,77
97,-1233.6988201338904,255.39970904921574,False,24,,5,6,148
98,-1236.6487069874267,252.345660402104,False,29,,5,5,102
99,-1241.1459648814441,254.0542192147099,True,20,sqrt,7,14,230
