trial_id,mean_cv_score,std_cv_score,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample
0,0.4528430629264594,0.01875000419118825,0.749816047538945,0.4753571532049581,0.22959818254342154,7,152,0.44583275285359114,0.6999498316360058,0.7836995567863468
1,0.4784306292645944,0.016025686647816634,0.7334834444556088,0.07143340896097039,0.20526654188465587,7,51,0.7219987722668247,2.3771054180315003,0.6003115063364057
2,0.4422289613343442,0.015656947127933495,0.996884623716487,0.30874075481385826,0.19349594814648427,11,98,0.5247746602583891,1.299721943430511,0.6186662652854461
3,0.5002653525398029,0.01990255962772641,0.9895022075365837,0.11638567021515211,0.03718193035984624,5,157,0.5142344384136116,1.684829137724085,0.6185801650879991
4,0.49848369977255497,0.01978357820978788,0.8430179407605753,0.08526206184364576,0.029515477895583855,6,138,0.9656320330745594,2.1167946962329225,0.7218455076693483
5,0.47054586808188026,0.018045565388645272,0.6390688456025535,0.34211651325607845,0.1420457481218804,9,221,0.4951769101112702,0.5687770422304368,0.9637281608315128
6,0.4770659590598939,0.015137867720114806,0.7035119926400067,0.331261142176991,0.10351332282682328,8,103,0.5467102793432796,0.8697089110510541,0.9878338511058234
7,0.43658074298711147,0.013346780029094828,0.9100531293444458,0.46974947078209456,0.27844820512829466,10,255,0.1959828624191452,0.5904545778210761,0.7301321323053057
8,0.4358605003790751,0.015254462602611844,0.7554709158757928,0.13567451588694796,0.2586212527455788,11,237,0.5426960831582485,0.7818484499495253,0.9208787923016158
9,0.45030326004548904,0.010842076788173978,0.6298202574719083,0.49344346830025865,0.24167343078899722,10,265,0.014079822715084456,0.8976848081776103,0.88453678109946
10,0.44503411675511745,0.01381987254672946,0.9160702162124823,0.3029799873905057,0.2878902635540047,11,77,0.8631034258755935,1.7465962536551158,0.7323592099410596
11,0.48081880212282024,0.017663596056522724,0.6254233401144095,0.1554911608578311,0.1075549966080241,5,221,0.6375574713552131,2.274425485152653,0.7888859700647797
12,0.44139499620924944,0.016654903237272107,0.6478376983753207,0.3566223936114975,0.23823551458506922,9,191,0.49379559636439074,1.5454656587639881,0.7710164073434198
13,0.4817285822592874,0.022350838844080883,0.610167650697638,0.053945713496652226,0.019428755706020276,9,290,0.3143559810763267,1.5171413823294055,0.9630265895704372
14,0.46728582259287343,0.023566337452020483,0.69971689165955,0.20519146151781487,0.2366653415629146,6,62,0.07697990982879299,1.079502905827536,0.6644885149016018
15,0.471379833206975,0.01613408638743778,0.9718790609370292,0.4040601897822085,0.20002112695312704,8,77,0.8036720768991145,0.8731401177720717,0.9570235993959911
16,0.4307429871114481,0.014101694016767637,0.8157368967662603,0.40372007758203127,0.278827389977048,9,239,0.11005192452767676,0.9558703250838834,0.7708431154505025
17,0.4892342683851402,0.015343598515747925,0.9272059063689972,0.4303652916281717,0.01208563915935721,10,204,0.417411003148779,0.9442156209414605,0.6479461469334731
18,0.454245640636846,0.014365194201836415,0.7350460685614512,0.4714548519562596,0.10696087960622656,10,282,0.4038361710580408,0.6297844942179631,0.7015661655737379
19,0.4807429871114481,0.01616016130005788,0.6987504251354405,0.3481521364198942,0.2236811769773326,7,162,0.9977404850489419,1.03356202855057,0.9906459823330611
20,0.4959059893858984,0.01995411635946595,0.7644148053272926,0.016525366450274193,0.11352137440800489,3,196,0.6807054515547668,1.5618691666342728,0.7791132658292367
21,0.4766489764973465,0.015948836900089334,0.8211572356285312,0.29634836193969677,0.03425599789981457,10,172,0.24215993827742588,2.1062795127597917,0.7881202537784153
22,0.4615617892342684,0.02197896662928602,0.9933692563579372,0.19941222122227653,0.2549295619658152,3,250,0.32078006497173583,0.8730370207997085,0.6163100566219055
23,0.5006065200909781,0.019723344786819308,0.8363571772752967,0.3387821809211412,0.014976348678356847,5,196,0.3486659872917294,0.6923531021828415,0.9762093057958416
24,0.4471190295678545,0.01747326315949336,0.759028808435009,0.25887567526374006,0.2613130317721984,11,266,0.20907162073771368,1.5828959476551316,0.8783137597380328
25,0.454510993176649,0.013988331877196305,0.6914200087189198,0.08747746354796809,0.3046505029988307,6,109,0.260829174830409,2.4925073995158487,0.9861677405155175
26,0.4719484457922668,0.015843342119300188,0.8233173814428391,0.44131817159466985,0.06661213250241381,11,148,0.7003578299727713,2.193322284476612,0.942529716751237
27,0.47907505686125856,0.023295881744079417,0.761803250848876,0.4438850493804799,0.2652785346302538,3,249,0.7853406511139436,1.8379765094284573,0.8322746485745819
28,0.4650871872630781,0.01596909637424597,0.7489131066246972,0.4700667212288892,0.3020991510265952,4,177,0.30536386034439345,1.4712275071724532,0.7793696571944989
29,0.49742228961334345,0.021506154438680005,0.9977829850443283,0.08796262633867269,0.015422609084656261,7,97,0.7464914051180241,1.7992657980944293,0.9396893641976711
30,0.49120545868081883,0.021278101217361782,0.8630451569201374,0.2841543016677358,0.038102430348427745,5,263,0.26520236768172545,0.9879792867581672,0.9892042219009782
31,0.48976497346474607,0.021687930558889224,0.7572390898667042,0.44602327758855664,0.19934158779917888,4,70,0.5026370931051921,1.6538077692527182,0.7970070775275455
32,0.48805913570887033,0.02148489609247401,0.6780971951192178,0.36122605763075266,0.09423170873225672,5,241,0.6454722959071678,0.8542213588140979,0.9761834337411657
33,0.4699772554965883,0.01910876716478457,0.9815714308010349,0.45743219511022426,0.12104761007663331,11,86,0.9283185625877254,1.3563682966346287,0.9866619276174678
34,0.4602729340409401,0.013429426078040495,0.9854479908357011,0.42650472773368003,0.0983346676208757,7,209,0.8511366715168569,1.1338440103125553,0.6677970986744369
35,0.46254738438210763,0.016435253637376954,0.82272050498334,0.4680773870803905,0.2188089390024919,10,223,0.09717649377076854,1.7300144533983395,0.9960215400417053
36,0.4810841546626232,0.01755710996978258,0.6560336060946096,0.25916482618186837,0.27321192157838664,3,153,0.697015740995268,1.9049681679742185,0.743796460487902
37,0.4495830174374527,0.01570029857961091,0.7174367377057973,0.4046805777392568,0.2530340184037542,11,201,0.9132405525564713,1.5226847977218756,0.8006065178748798
38,0.44579226686884005,0.01729388437095139,0.9193180715867101,0.3249819653888826,0.220590063177311,5,264,0.027616771873704704,1.6577297910151174,0.7753896492072347
39,0.4827141774071266,0.01746273342922432,0.8688104541180797,0.16407633373736596,0.05651248501832326,8,107,0.8604046183116753,1.000502721031728,0.6155338937717693
40,0.46258529188779374,0.018939190766893283,0.7213062058692892,0.2685412135983277,0.10799537253881225,10,102,0.2715429158197419,2.4305036607815396,0.7829060646454914
41,0.48316906747536004,0.023876432978460763,0.9368092300047925,0.09719001699743651,0.13340617151700357,5,104,0.13835309241780136,0.7654908444859396,0.9878147468456636
42,0.4838134950720242,0.018916794900358854,0.8858380416719809,0.020533758383937895,0.12964627043343835,5,141,0.7440426429991154,1.0017210546933224,0.673733469732548
43,0.4916224412433662,0.02026382228379931,0.632349186646879,0.21415723747005388,0.21654997022960992,3,107,0.9152137276264805,1.3847044594622089,0.6959149436629612
44,0.49226686884003035,0.017565292661624158,0.6375493160325166,0.09143299855365367,0.29038419920191294,3,65,0.5166962574265667,1.8142226570003337,0.7742691594711564
45,0.4414329037149356,0.016805898368203863,0.8920157266247274,0.023858063845824395,0.1798111631482229,5,278,0.12016464780564218,1.1837593334328032,0.6367196263253767
46,0.4340788476118271,0.012719874688886381,0.637662795307424,0.1557066546956471,0.30385315858645257,7,253,0.017161101831750236,2.026728846007822,0.9227651908203118
47,0.449393479909022,0.015176264101927149,0.7385217284357604,0.2323369064698057,0.204932104792829,8,118,0.8866803872980475,1.021787246683428,0.6061218161161539
48,0.4758529188779378,0.016605304874208925,0.9733745232317932,0.2505199419576296,0.17181323452001876,6,65,0.07056874740042984,1.7848385564126312,0.6106045242166487
49,0.4720242608036391,0.01820807634111798,0.8343102325093853,0.4701151207124788,0.18264225336276368,4,212,0.6432882184423532,1.4165057809830333,0.818246715726374
50,0.43896891584533737,0.016042087359298872,0.97658592351061,0.19305131890038713,0.29835716914717425,4,292,0.6182538843378929,1.173108429777453,0.8622890541522968
51,0.48495072024260805,0.019253356108717673,0.754158648386226,0.34080683448639487,0.112187370839272,5,154,0.4960374542934062,1.8857807173838788,0.739334641781279
52,0.4423426838514025,0.014200598903211294,0.9746592607422829,0.019593163337823127,0.13538380951467363,11,213,0.17743954377972282,2.0012295032817167,0.9227338957069056
53,0.4587945413191812,0.01613034523258469,0.9962020568002693,0.20630883845571324,0.12160542573783495,9,145,0.34080354025301784,2.3615146512071297,0.9433651007372047
54,0.46512509476876424,0.019810797586753075,0.7715976109500073,0.3754355338957487,0.2363628622254047,11,79,0.9025529066795667,1.5105047448957143,0.9305829864430967
55,0.46178923426838514,0.014779358171116941,0.7280198404122447,0.44776161424810024,0.12676050362024893,11,196,0.09128667678613356,1.1386272751808297,0.980024786820322
56,0.45356330553449586,0.016064465641192325,0.9802428587750225,0.28671894406164306,0.19955116365093978,7,118,0.29321077169806453,1.157329090739832,0.8690073824308153
57,0.4558756633813495,0.0211506897397202,0.900949811775072,0.39578952186292427,0.24688544283836616,7,91,0.9742482085344102,2.4918624840606585,0.62234846187094
58,0.46019711902956784,0.015791558930758516,0.8948142227164035,0.27295788508249447,0.22174944516360837,11,123,0.8369638742373738,2.233737410621683,0.935392305505594
59,0.5010993176648977,0.020356507030830237,0.7704365900187764,0.11128820878551526,0.12899548058627555,4,54,0.5133261686923929,0.9664561448490556,0.8325221668907129
60,0.46747536012130403,0.015025246113978097,0.9452554087956015,0.4401799843192084,0.08100555810462362,9,266,0.5918887388212843,1.200436493400627,0.8832724782332799
61,0.47422289613343444,0.02263652661290769,0.7926667951856461,0.18899379506112723,0.22152530928899797,5,88,0.43445184448827134,1.0073643477462775,0.7620808347125668
62,0.4591357088703563,0.016642906046854176,0.8285892100820043,0.37048693045533415,0.2401584559325715,11,216,0.7460448792654233,1.6667375301943193,0.9848690193898167
63,0.46023502653525405,0.013391815617624014,0.7499482318094817,0.14285604314093037,0.2705797384568381,8,166,0.9632225394406113,0.5243089493796327,0.9879515306830556
64,0.46171341925701287,0.01835208802980216,0.6172639647802304,0.44557155684903554,0.16831033272588997,7,213,0.5538542844013208,2.438605071238198,0.8092391376680595
65,0.47103866565579977,0.019039759374874853,0.851759455254105,0.3478743444923086,0.14636231943033198,7,103,0.5843143119231002,2.302316020981978,0.6181785521365831
66,0.45121304018195607,0.012260368018541338,0.7123852758368922,0.47520574203827937,0.2770791351672749,10,205,0.3356600647969632,0.8393598077911311,0.8587393446674896
67,0.4805534495830174,0.018148789920073585,0.7553073535959489,0.11469737285247483,0.08978137748927167,7,90,0.2599498628542627,1.406481693657662,0.6129263804438602
68,0.46781652767247917,0.016505835153861025,0.7119054028675783,0.20560336043609312,0.19083456460698955,5,183,0.949799913291924,1.95143901677672,0.845366078374316
69,0.45621683093252463,0.01677765817480944,0.7672972145162475,0.46636424167700663,0.2698191668501225,7,168,0.41125511658536906,2.055204567470451,0.7921480327465419
70,0.4375663381349507,0.0194127886019706,0.9941144202662018,0.18836948496897038,0.23487348999282162,11,135,0.8291642207065144,1.6381629383314953,0.6254047318360005
71,0.49404852160727825,0.020447436471146302,0.6147287470543965,0.0669260594003166,0.014101589448099186,9,55,0.691714397168912,1.5686925500589262,0.8999642997879886
72,0.44768764215314627,0.012552479673842645,0.9652663009030571,0.292574766162736,0.22783625322155443,5,194,0.24108483232963185,0.9100906570130498,0.7005769758047193
73,0.4357846853677028,0.01606017142979064,0.7098927188103635,0.10361382450402823,0.2734662002437577,10,81,0.04689646779121992,1.0373449640506147,0.6088738968121207
74,0.4906747536012131,0.023147615491164127,0.7992660746583572,0.2381053483945071,0.25941144701875035,4,61,0.8163857352130623,2.435947530879646,0.6353632893462586
75,0.4596664139499621,0.011352902417038681,0.9167271357878531,0.29497794856881804,0.15401379010554253,9,256,0.7846682639443096,1.7787227139484847,0.9220178670077448
76,0.46565579984836997,0.01623149640222788,0.9612604234706505,0.308631856048646,0.3041388175277134,4,147,0.6366443216222826,1.6096312170844513,0.6364008364205321
77,0.4500758150113723,0.017222944708771597,0.8905588130600912,0.2737231534495558,0.14527313422483132,9,155,0.8623637087467452,2.3990412473152842,0.6588293923716152
78,0.4641015921152388,0.019299946766332673,0.9706350500645977,0.2460581465397691,0.0874733164896875,10,118,0.980032575285477,1.4852361879857392,0.7315006441150033
79,0.46899166034874906,0.01876463650441282,0.8533603417266903,0.12007280938909654,0.032758998432599176,11,200,0.12804583895777244,0.8038053870245887,0.655530869059764
80,0.48278999241849885,0.015840348761817915,0.8563498979212858,0.09094004219957241,0.11370018499715895,5,145,0.47396164026287235,1.8351154770420544,0.668927948480652
81,0.4730098559514784,0.019573492015724184,0.6769156075234684,0.02043430813323943,0.060680518921649364,8,198,0.5487153092074086,1.568847007465046,0.7423965937087944
