Timeinterval Start Loc;Timeinterval End Loc;Isp;Currency Unit Name;Price Measurement Unit Name;Incident Reserve Up;Incident Reserve Down;Price Dispatch Up;Price Dispatch Down;Price Shortage;Price Surplus;Regulation State;Regulating Condition
2025-07-01T00:00;2025-07-01T00:15;1;EUR;MWh;NO;NO;130.4;64.75;130.4;64.75;2;UP_AND_DOWN
2025-07-01T00:15;2025-07-01T00:30;2;EUR;MWh;NO;NO;144;71.68;144;71.68;2;UP_AND_DOWN
2025-07-01T00:30;2025-07-01T00:45;3;EUR;MWh;NO;NO;78.56;63.36;102.28;63.36;2;UP_AND_DOWN
2025-07-01T00:45;2025-07-01T01:00;4;EUR;MWh;NO;NO;;16.2;16.2;16.2;-1;DOWN
2025-07-01T01:00;2025-07-01T01:15;5;EUR;MWh;NO;NO;;6.98;6.98;6.98;-1;DOWN
2025-07-01T01:15;2025-07-01T01:30;6;EUR;MWh;NO;NO;;58.99;58.99;58.99;-1;DOWN
2025-07-01T01:30;2025-07-01T01:45;7;EUR;MWh;NO;NO;;30.9;30.9;30.9;-1;DOWN
2025-07-01T01:45;2025-07-01T02:00;8;EUR;MWh;NO;NO;;23;23;23;-1;DOWN
2025-07-01T02:00;2025-07-01T02:15;9;EUR;MWh;NO;NO;;40.98;40.98;40.98;-1;DOWN
2025-07-01T02:15;2025-07-01T02:30;10;EUR;MWh;NO;NO;;63.98;63.98;63.98;-1;DOWN
2025-07-01T02:30;2025-07-01T02:45;11;EUR;MWh;NO;NO;;61.98;61.98;61.98;-1;DOWN
2025-07-01T02:45;2025-07-01T03:00;12;EUR;MWh;NO;NO;;68.32;68.32;68.32;-1;DOWN
2025-07-01T03:00;2025-07-01T03:15;13;EUR;MWh;NO;NO;;63.99;63.99;63.99;-1;DOWN
2025-07-01T03:15;2025-07-01T03:30;14;EUR;MWh;NO;NO;;58.99;58.99;58.99;-1;DOWN
2025-07-01T03:30;2025-07-01T03:45;15;EUR;MWh;NO;NO;;58.99;58.99;58.99;-1;DOWN
2025-07-01T03:45;2025-07-01T04:00;16;EUR;MWh;NO;NO;;65;65;65;-1;DOWN
2025-07-01T04:00;2025-07-01T04:15;17;EUR;MWh;NO;NO;;34.98;34.98;34.98;-1;DOWN
2025-07-01T04:15;2025-07-01T04:30;18;EUR;MWh;NO;NO;;65;65;65;-1;DOWN
2025-07-01T04:30;2025-07-01T04:45;19;EUR;MWh;NO;NO;;66;66;66;-1;DOWN
2025-07-01T04:45;2025-07-01T05:00;20;EUR;MWh;NO;NO;;66;66;66;-1;DOWN
2025-07-01T05:00;2025-07-01T05:15;21;EUR;MWh;NO;NO;;65;65;65;-1;DOWN
2025-07-01T05:15;2025-07-01T05:30;22;EUR;MWh;NO;NO;78.56;68.28;78.56;68.28;2;UP_AND_DOWN
2025-07-01T05:30;2025-07-01T05:45;23;EUR;MWh;NO;NO;120.1;;120.1;120.1;1;UP
2025-07-01T05:45;2025-07-01T06:00;24;EUR;MWh;NO;NO;100.74;;100.74;100.74;1;UP
2025-07-01T06:00;2025-07-01T06:15;25;EUR;MWh;NO;NO;82.98;61.98;82.98;61.79;2;UP_AND_DOWN
2025-07-01T06:15;2025-07-01T06:30;26;EUR;MWh;NO;NO;87.98;61.98;87.98;87.98;1;UP
2025-07-01T06:30;2025-07-01T06:45;27;EUR;MWh;NO;NO;91.98;;91.98;91.98;1;UP
2025-07-01T06:45;2025-07-01T07:00;28;EUR;MWh;NO;NO;91.98;67.88;67.88;67.88;-1;DOWN
2025-07-01T07:00;2025-07-01T07:15;29;EUR;MWh;NO;NO;;69.08;69.08;69.08;-1;DOWN
2025-07-01T07:15;2025-07-01T07:30;30;EUR;MWh;NO;NO;119.8;;119.8;119.8;1;UP
2025-07-01T07:30;2025-07-01T07:45;31;EUR;MWh;NO;NO;119.9;;119.9;119.9;1;UP
2025-07-01T07:45;2025-07-01T08:00;32;EUR;MWh;NO;NO;119.9;;61.79;61.79;0;STABLE
2025-07-01T08:00;2025-07-01T08:15;33;EUR;MWh;NO;NO;110.7;;110.7;110.7;1;UP
2025-07-01T08:15;2025-07-01T08:30;34;EUR;MWh;NO;NO;130.4;;130.4;130.4;1;UP
2025-07-01T08:30;2025-07-01T08:45;35;EUR;MWh;NO;NO;130.4;;130.4;130.4;1;UP
2025-07-01T08:45;2025-07-01T09:00;36;EUR;MWh;NO;NO;58.56;69.09;61.79;61.79;2;UP_AND_DOWN
2025-07-01T09:00;2025-07-01T09:15;37;EUR;MWh;NO;NO;68.56;64.5;69.07;64.5;2;UP_AND_DOWN
2025-07-01T09:15;2025-07-01T09:30;38;EUR;MWh;NO;NO;85.88;81;85.88;85.88;1;UP
2025-07-01T09:30;2025-07-01T09:45;39;EUR;MWh;NO;NO;99.28;;99.28;99.28;1;UP
2025-07-01T09:45;2025-07-01T10:00;40;EUR;MWh;NO;NO;;56;56;56;-1;DOWN
2025-07-01T10:00;2025-07-01T10:15;41;EUR;MWh;NO;NO;;-30;-30;-30;-1;DOWN
2025-07-01T10:15;2025-07-01T10:30;42;EUR;MWh;NO;NO;;10;10;10;-1;DOWN
