Timeinterval Start Loc;Timeinterval End Loc;Isp;Currency Unit Name;Price Measurement Unit Name;Incident Reserve Up;Incident Reserve Down;Price Dispatch Up;Price Dispatch Down;Price Shortage;Price Surplus;Regulation State;Regulating Condition
2025-06-01T00:00;2025-06-01T00:15;1;EUR;MWh;NO;NO;165;;165;165;1;UP
2025-06-01T00:15;2025-06-01T00:30;2;EUR;MWh;NO;NO;1672.26;;1672.26;1672.26;1;UP
2025-06-01T00:30;2025-06-01T00:45;3;EUR;MWh;NO;NO;117;;117;117;1;UP
2025-06-01T00:45;2025-06-01T01:00;4;EUR;MWh;NO;NO;78.56;65;78.56;65;2;UP_AND_DOWN
2025-06-01T01:00;2025-06-01T01:15;5;EUR;MWh;NO;NO;78.56;33;78.56;33;2;UP_AND_DOWN
2025-06-01T01:15;2025-06-01T01:30;6;EUR;MWh;NO;NO;;20.7;20.7;20.7;-1;DOWN
2025-06-01T01:30;2025-06-01T01:45;7;EUR;MWh;NO;NO;;33;33;33;-1;DOWN
2025-06-01T01:45;2025-06-01T02:00;8;EUR;MWh;NO;NO;102.81;60.27;102.81;60.27;2;UP_AND_DOWN
2025-06-01T02:00;2025-06-01T02:15;9;EUR;MWh;NO;NO;108.82;;108.82;108.82;1;UP
2025-06-01T02:15;2025-06-01T02:30;10;EUR;MWh;NO;NO;117;;117;117;1;UP
2025-06-01T02:30;2025-06-01T02:45;11;EUR;MWh;NO;NO;117;74.34;74.34;74.34;-1;DOWN
2025-06-01T02:45;2025-06-01T03:00;12;EUR;MWh;NO;NO;117;35.01;35.01;35.01;-1;DOWN
2025-06-01T03:00;2025-06-01T03:15;13;EUR;MWh;NO;NO;108.98;74.17;108.98;69.27;2;UP_AND_DOWN
2025-06-01T03:15;2025-06-01T03:30;14;EUR;MWh;NO;NO;108.98;;108.98;108.98;1;UP
2025-06-01T03:30;2025-06-01T03:45;15;EUR;MWh;NO;NO;76.4;69.57;76.4;69.27;2;UP_AND_DOWN
2025-06-01T03:45;2025-06-01T04:00;16;EUR;MWh;NO;NO;117;69.57;117;117;1;UP
2025-06-01T04:00;2025-06-01T04:15;17;EUR;MWh;NO;NO;117;;117;117;1;UP
2025-06-01T04:15;2025-06-01T04:30;18;EUR;MWh;NO;NO;102;;102;102;1;UP
2025-06-01T04:30;2025-06-01T04:45;19;EUR;MWh;NO;NO;97.79;69.67;97.79;69.27;2;UP_AND_DOWN
2025-06-01T04:45;2025-06-01T05:00;20;EUR;MWh;NO;NO;78.46;10.1;78.46;10.1;2;UP_AND_DOWN
2025-06-01T05:00;2025-06-01T05:15;21;EUR;MWh;NO;NO;88.36;33;88.36;33;2;UP_AND_DOWN
2025-06-01T05:15;2025-06-01T05:30;22;EUR;MWh;NO;NO;88.36;33.1;88.36;33.1;2;UP_AND_DOWN
2025-06-01T05:30;2025-06-01T05:45;23;EUR;MWh;NO;NO;68.36;10;10;10;-1;DOWN
2025-06-01T05:45;2025-06-01T06:00;24;EUR;MWh;NO;NO;100.2;10;100.2;100.2;1;UP
2025-06-01T06:00;2025-06-01T06:15;25;EUR;MWh;NO;NO;103.98;;103.98;103.98;1;UP
2025-06-01T06:15;2025-06-01T06:30;26;EUR;MWh;NO;NO;68.56;10;10;10;-1;DOWN
2025-06-01T06:30;2025-06-01T06:45;27;EUR;MWh;NO;NO;87;69.57;87;68.49;2;UP_AND_DOWN
2025-06-01T06:45;2025-06-01T07:00;28;EUR;MWh;NO;NO;;10;10;10;-1;DOWN
2025-06-01T07:00;2025-06-01T07:15;29;EUR;MWh;NO;NO;93.9;-30;93.9;-30;2;UP_AND_DOWN
2025-06-01T07:15;2025-06-01T07:30;30;EUR;MWh;NO;NO;;-2.91;-2.91;-2.91;-1;DOWN
2025-06-01T07:30;2025-06-01T07:45;31;EUR;MWh;NO;NO;;;0;0;-1;DOWN
2025-06-01T07:45;2025-06-01T08:00;32;EUR;MWh;NO;NO;;10;10;10;-1;DOWN
2025-06-01T08:00;2025-06-01T08:15;33;EUR;MWh;NO;NO;;10;10;10;-1;DOWN
2025-06-01T08:15;2025-06-01T08:30;34;EUR;MWh;NO;NO;;3;3;3;-1;DOWN
2025-06-01T08:30;2025-06-01T08:45;35;EUR;MWh;NO;NO;;10;10;10;-1;DOWN
2025-06-01T08:45;2025-06-01T09:00;36;EUR;MWh;NO;NO;;69.57;69.57;69.57;-1;DOWN
2025-06-01T09:00;2025-06-01T09:15;37;EUR;MWh;NO;NO;110.98;69.67;110.98;47.49;2;UP_AND_DOWN
2025-06-01T09:15;2025-06-01T09:30;38;EUR;MWh;NO;NO;35;52.03;40.49;40.49;2;UP_AND_DOWN
2025-06-01T09:30;2025-06-01T09:45;39;EUR;MWh;NO;NO;24;75.98;40.49;40.49;2;UP_AND_DOWN
2025-06-01T09:45;2025-06-01T10:00;40;EUR;MWh;NO;NO;1;;1;1;1;UP
2025-06-01T10:00;2025-06-01T10:15;41;EUR;MWh;NO;NO;1;-30;40.49;-30;2;UP_AND_DOWN
2025-06-01T10:15;2025-06-01T10:30;42;EUR;MWh;NO;NO;1;10;10;10;-1;DOWN
2025-06-01T10:30;2025-06-01T10:45;43;EUR;MWh;NO;NO;;.3;.3;.3;-1;DOWN
2025-06-01T10:45;2025-06-01T11:00;44;EUR;MWh;NO;NO;1;69.57;69.57;69.57;-1;DOWN
2025-06-01T11:00;2025-06-01T11:15;45;EUR;MWh;NO;NO;78.56;79.8;78.56;40.49;2;UP_AND_DOWN
2025-06-01T11:15;2025-06-01T11:30;46;EUR;MWh;NO;NO;1;27.53;40.49;27.53;2;UP_AND_DOWN
2025-06-01T11:30;2025-06-01T11:45;47;EUR;MWh;NO;NO;1;69.57;69.57;69.57;-1;DOWN
2025-06-01T11:45;2025-06-01T12:00;48;EUR;MWh;NO;NO;1;79.98;40.49;40.49;2;UP_AND_DOWN
2025-06-01T12:00;2025-06-01T12:15;49;EUR;MWh;NO;NO;1;79.98;1;1;1;UP
2025-06-01T12:15;2025-06-01T12:30;50;EUR;MWh;NO;NO;102.5;;102.5;102.5;1;UP
2025-06-01T12:30;2025-06-01T12:45;51;EUR;MWh;NO;NO;100;;100;100;1;UP
2025-06-01T12:45;2025-06-01T13:00;52;EUR;MWh;NO;NO;1;1;40.49;1;2;UP_AND_DOWN
2025-06-01T13:00;2025-06-01T13:15;53;EUR;MWh;NO;NO;;;0;0;-1;DOWN
2025-06-01T13:15;2025-06-01T13:30;54;EUR;MWh;NO;NO;1;-17.66;40.49;-17.66;2;UP_AND_DOWN
2025-06-01T13:30;2025-06-01T13:45;55;EUR;MWh;NO;NO;45;-29.7;45;-29.7;2;UP_AND_DOWN
2025-06-01T13:45;2025-06-01T14:00;56;EUR;MWh;NO;NO;1;-22.12;40.49;-22.12;2;UP_AND_DOWN
2025-06-01T14:00;2025-06-01T14:15;57;EUR;MWh;NO;NO;1;;0;0;-1;DOWN
2025-06-01T14:15;2025-06-01T14:30;58;EUR;MWh;NO;NO;;-30;-30;-30;-1;DOWN
2025-06-01T14:30;2025-06-01T14:45;59;EUR;MWh;NO;NO;;;0;0;-1;DOWN
2025-06-01T14:45;2025-06-01T15:00;60;EUR;MWh;NO;NO;;-30;-30;-30;-1;DOWN
2025-06-01T15:00;2025-06-01T15:15;61;EUR;MWh;NO;NO;;;0;0;-1;DOWN
2025-06-01T15:15;2025-06-01T15:30;62;EUR;MWh;NO;NO;1;10;40.49;10;2;UP_AND_DOWN
2025-06-01T15:30;2025-06-01T15:45;63;EUR;MWh;NO;NO;1;-30;40.49;-30;2;UP_AND_DOWN
2025-06-01T15:45;2025-06-01T16:00;64;EUR;MWh;NO;NO;1;;0;0;-1;DOWN
2025-06-01T16:00;2025-06-01T16:15;65;EUR;MWh;NO;NO;1;;0;0;-1;DOWN
2025-06-01T16:15;2025-06-01T16:30;66;EUR;MWh;NO;NO;1;-30;-30;-30;-1;DOWN
2025-06-01T16:30;2025-06-01T16:45;67;EUR;MWh;NO;NO;1;-36.49;40.49;-36.49;2;UP_AND_DOWN
2025-06-01T16:45;2025-06-01T17:00;68;EUR;MWh;NO;NO;1;-49.9;-49.9;-49.9;-1;DOWN
2025-06-01T17:00;2025-06-01T17:15;69;EUR;MWh;NO;NO;17;-27.49;40.49;-27.49;2;UP_AND_DOWN
2025-06-01T17:15;2025-06-01T17:30;70;EUR;MWh;NO;NO;68.56;-27.49;68.56;-27.49;2;UP_AND_DOWN
2025-06-01T17:30;2025-06-01T17:45;71;EUR;MWh;NO;NO;100.2;;100.2;100.2;1;UP
2025-06-01T17:45;2025-06-01T18:00;72;EUR;MWh;NO;NO;100.87;;100.87;100.87;1;UP
2025-06-01T18:00;2025-06-01T18:15;73;EUR;MWh;NO;NO;117;-60;117;-60;2;UP_AND_DOWN
2025-06-01T18:15;2025-06-01T18:30;74;EUR;MWh;NO;NO;98.8;;98.8;0;2;UP_AND_DOWN
2025-06-01T18:30;2025-06-01T18:45;75;EUR;MWh;NO;NO;100.5;10;100.5;10;2;UP_AND_DOWN
2025-06-01T18:45;2025-06-01T19:00;76;EUR;MWh;NO;NO;88.86;-44;88.86;-44;2;UP_AND_DOWN
2025-06-01T19:00;2025-06-01T19:15;77;EUR;MWh;NO;NO;93.8;-14.99;93.8;-14.99;2;UP_AND_DOWN
2025-06-01T19:15;2025-06-01T19:30;78;EUR;MWh;NO;NO;;-30;-30;-30;-1;DOWN
2025-06-01T19:30;2025-06-01T19:45;79;EUR;MWh;NO;NO;117;;117;0;2;UP_AND_DOWN
2025-06-01T19:45;2025-06-01T20:00;80;EUR;MWh;NO;NO;117;76.18;117;56.49;2;UP_AND_DOWN
2025-06-01T20:00;2025-06-01T20:15;81;EUR;MWh;NO;NO;92.08;;92.08;92.08;1;UP
2025-06-01T20:15;2025-06-01T20:30;82;EUR;MWh;NO;NO;93.81;69.57;93.81;51.31;2;UP_AND_DOWN
2025-06-01T20:30;2025-06-01T20:45;83;EUR;MWh;NO;NO;88.98;69.57;88.98;53.81;2;UP_AND_DOWN
2025-06-01T20:45;2025-06-01T21:00;84;EUR;MWh;NO;NO;58.56;58.08;58.56;50.79;2;UP_AND_DOWN
2025-06-01T21:00;2025-06-01T21:15;85;EUR;MWh;NO;NO;118.98;79.31;118.98;56.21;2;UP_AND_DOWN
2025-06-01T21:15;2025-06-01T21:30;86;EUR;MWh;NO;NO;139.02;;139.02;139.02;1;UP
2025-06-01T21:30;2025-06-01T21:45;87;EUR;MWh;NO;NO;149.2;;149.2;149.2;1;UP
2025-06-01T21:45;2025-06-01T22:00;88;EUR;MWh;NO;NO;200;;200;200;1;UP
2025-06-01T22:00;2025-06-01T22:15;89;EUR;MWh;NO;NO;164.98;;164.98;164.98;1;UP
2025-06-01T22:15;2025-06-01T22:30;90;EUR;MWh;NO;NO;115.88;;115.88;115.88;1;UP
2025-06-01T22:30;2025-06-01T22:45;91;EUR;MWh;NO;NO;115.78;79.7;79.7;79.7;-1;DOWN
2025-06-01T22:45;2025-06-01T23:00;92;EUR;MWh;NO;NO;46;70;70;70;-1;DOWN
2025-06-01T23:00;2025-06-01T23:15;93;EUR;MWh;NO;NO;135;69.67;135;62.9;2;UP_AND_DOWN
2025-06-01T23:15;2025-06-01T23:30;94;EUR;MWh;NO;NO;78.56;69.77;78.56;62.73;2;UP_AND_DOWN
2025-06-01T23:30;2025-06-01T23:45;95;EUR;MWh;NO;NO;100;;100;100;1;UP
2025-06-01T23:45;2025-06-02T00:00;96;EUR;MWh;NO;NO;135;;135;135;1;UP
2025-06-02T00:00;2025-06-02T00:15;1;EUR;MWh;NO;NO;165;;165;165;1;UP
2025-06-02T00:15;2025-06-02T00:30;2;EUR;MWh;NO;NO;122.98;;122.98;122.98;1;UP
2025-06-02T00:30;2025-06-02T00:45;3;EUR;MWh;NO;NO;135;;135;135;1;UP
