trial_id,mean_cv_score,std_cv_score,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization
0,-34952.77730184083,773.8347142363647,100,15,500,3.0,0.05,1.0
1,-38909.55996082449,51.29731930214502,50,63,500,7.0,0.03,0.0
2,-43371.877278035776,3161.908464678274,20,15,800,,0.05,1.0
3,-38681.59025943204,1052.8498640472612,100,63,800,5.0,0.05,0.1
4,-42125.29294170928,7161.275998313638,100,31,800,,0.1,0.1
5,-41726.16988307507,2530.5569645778623,50,31,800,,0.05,0.1
6,-42047.67171225725,2262.409884705626,50,63,300,7.0,0.1,0.0
7,-37891.09924128578,3051.1828425415933,50,15,500,7.0,0.1,0.0
8,-44159.20860627779,4306.538898238458,50,31,800,,0.1,1.0
9,-38213.72844002213,2596.5734061999283,50,63,800,3.0,0.1,1.0
10,-35956.554140169595,1465.9731024842722,100,31,500,3.0,0.1,0.1
11,-41963.60194055417,5918.716253428832,20,31,300,3.0,0.1,1.0
12,-36129.807669629685,506.03792451699354,100,63,500,5.0,0.05,1.0
13,-38393.437235803685,2047.6752955932327,50,15,800,5.0,0.05,0.1
14,-43676.229135807254,4448.423870265598,20,31,500,7.0,0.03,1.0
15,-44195.115105849545,2895.357419714805,20,63,300,,0.03,0.1
16,-41199.32711771529,2226.0198465123667,20,15,800,7.0,0.03,1.0
17,-39697.42882745499,4851.931484387934,20,31,300,5.0,0.03,0.0
18,-43930.81161301901,1722.0436098164935,20,15,800,5.0,0.05,1.0
19,-39744.0846491951,3011.116243090764,50,15,500,,0.1,0.0
20,-44730.403794619146,2000.8524986319192,20,31,800,,0.05,0.0
21,-44866.92677527311,3505.16709870147,20,31,500,,0.1,0.0
22,-46498.88541137282,3989.226904157935,20,63,300,7.0,0.05,0.0
23,-47746.55338293728,3481.811493612261,20,63,800,7.0,0.1,0.0
24,-35063.488497658676,352.86440494977046,100,31,300,7.0,0.03,0.0
25,-41647.518385401134,2729.88435208163,20,15,500,,0.05,0.0
26,-35574.264243063306,637.653007319532,50,15,300,5.0,0.03,0.1
27,-38622.079033328075,1323.731600567282,50,31,800,7.0,0.03,0.0
28,-34978.647106273056,707.1253636748958,100,31,800,3.0,0.03,0.0
29,-40055.36159005148,3008.1363611809784,100,63,800,,0.03,1.0
